"Set","lf","rth","mas","mp","bll","lp","ldp","psc","qcf","cuesim","dprom","cueweighting","ndistr","Publication","Lang","Method","Measure","WM","Cue","IntType","DistrPos","DepType","VerbType","Prominence1","Prominence2","Prominence","Fit","Fit_Match","Fit_Mismatch","R"
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"PearlmutterEtAl99E3plu","EN","SPR","RT",NA,"num","retro","pp","agreement","plural","other","other","low",15.3316,15.3316,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"PearlmutterEtAl99E3sing","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",19.6503,39.3006,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"TuckerEtAl2015","AR","SPR","RT",NA,"num","retro","obj","agreement","sing","other","other","low",16.93655,9.9522,28.897,1
2,0.125,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"WagersEtAl09E4","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",27.8376,30.3152,40.5176,1
2,0.125,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"WagersEtAl09E5","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",21.7211,14.8428,36.0208,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"WagersEtAl09E6","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",1.5429,3.0858,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.2,1,3,"VanDykeEtAl06","EN","SPR","RT",NA,"sem","pro","memory_3x","nonagreement","sing","other","other","low",29.5462,29.5462,NA,1
6,0.225,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.2,1,1,"VanDykeEtAl11E2bPro","EN","ET","FPRT",NA,"subj","pro","obj","nonagreement","sing","other","other","low",4.1106,4.1106,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"VanDyke07E1LoSyn","EN","SPR","RT",NA,"subj","retro","pp","nonagreement","sing","other","other","low",45.4318,45.4318,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"VanDyke07E2LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other","other","low",36.8198,36.8198,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"VanDyke07E3LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other","other","low",0.1396,0.1396,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"VanDykeEtAl11E2bRetro","EN","ET","FPRT",NA,"subj","retro","obj","nonagreement","sing","other","other","low",5.1028,10.2056,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-0.9,-2.2,1,1,"KushEtAl14","HI","SPR","RT",NA,"num","retro","prepobj","reci",NA,"other","other","low",3.3145,5.5552,1.0738,1
4,0.175,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.2,1,1,"BadeckerEtAl02E5","EN","SPR","RT",NA,"gend","pro","gen","refl",NA,"other","other","low",0.0150000000000001,0.0150000000000001,NA,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.2,1,1,"BadeckerEtAl02E6","EN","SPR","RT",NA,"gend","pro","prepobj","refl",NA,"other","other","low",0.6984,1.3968,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.2,1,3,"JaegerEtAl15E2local","CN","ET","FPRT",NA,"anim","pro","memory_3x","refl",NA,"other","other","low",8.1632,8.1632,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"DillonEtAl13E1refl","EN","ET","FPRT",NA,"num","retro","obj","refl",NA,"other","other","low",4.5174,1.9224,7.1124,1
3,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"DillonEtAl13E2himself","EN","ET","FPRT",NA,"num","retro","obj","refl",NA,"other","other","low",8.80585,18.8858,8.1688,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.2,1,1,"DillonEtAl13E2themselves","EN","ET","FPRT",NA,"num","retro","obj","refl",NA,"other","other","low",11.6529,16.981,29.6306,-1
