"","Set","lf","rth","mas","mp","bll","lp","ldp","psc","qcf","cuesim","dprom","cueweighting","ndistr","Publication","Lang","Method","Measure","WM","Cue","IntType","DistrPos","DepType","VerbType","Prominence2","Fit","Fit_Match","Fit_Mismatch","R"
"59",8,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-0.5,1,1,"VanDyke07E2LoSem","EN","ET","RRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",3.7128,3.7128,NA,1
"60",14,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.5,1,1,"VanDyke07E3LoSem","EN","ET","RRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",0.0417999999999985,0.0417999999999985,NA,1
"61",24,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-0.5,1,1,"VanDykeEtAl11E2bpro","EN","ET","RRT",NA,"subj","pro","obj","nonagreement","sing","other",18.0922,18.0922,NA,1
"62",17,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"VanDykeEtAl11E2bretro","EN","ET","RRT",NA,"subj","retro","obj","nonagreement","sing","other",0.0044000000000004,0.0044000000000004,NA,1
"63",1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-3,1,1,"VanDyke07E3LoSyn","EN","ET","RRT",NA,"subj","retro","pp","nonagreement","sing","other",1.3448,2.6896,NA,1
"64",19,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"VanDykeE2LoSyn","EN","ET","RRT",NA,"subj","retro","pp","nonagreement","sing","other",2.0892,2.0892,NA,1
"65",8,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-0.5,1,1,"VanDykeEtAl11E1bpro","EN","ET","RRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",0.572800000000001,0.572800000000001,NA,1
"66",16,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"VanDykeEtAl11E1bretro","EN","ET","RRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",50.1168,50.1168,NA,1
"67",20,0.25,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,2.5,1,1,"FelserEtAl09noccom","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",0.0539999999999985,0.0539999999999985,NA,1
"68",23,0.2,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,-0.5,1,1,"DillonEtAl13E1refl","EN","ET","RRT",NA,"num","retro","obj","refl",NA,"other",3.81695,2.1318,11.0042,1
"69",17,0.1,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,1,1,1,"Sturt03E2","EN","ET","RRT",NA,"gend","retro","obj_topic","refl",NA,"subj_OR_topic",12.4185,23.8304,1.0066,1
"70",20,0.25,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,2.5,1,1,"CunningsEtAl13E1LO","EN","ET","RRT","LO","gend","pro","subj_topic","refl",NA,"subj_AND_topic",17.3369,34.1206,0.5532,-1
"71",20,0.25,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,2.5,1,1,"CunningsEtAl13E1HI","EN","ET","RRT","HI","gend","pro","subj_topic","refl",NA,"subj_AND_topic",13.6367,8.2288,38.0892,-1
"72",21,0.1,-1.5,1.5,0.25,0,0.7,1.3,1,10,-1,3,1,1,"CunningsEtAl14E1","EN","ET","RRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",8.96305,0.6948,34.4626,-1
"73",82,0.15,-1.5,1.5,0.25,0,1.3,0.7,1,10,-0.9,0,1,1,"JaegerEtAl15E1","CN","ET","RRT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",2.2972,0.496200000000002,4.0982,1
"74",4,0.25,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,0.5,1,1,"CunningsEtAl13E2LO","EN","ET","RRT","LO","gend","retro","subj_topic","refl",NA,"subj_AND_topic",25.77565,6.3306,90.4414,1
"75",1,0.1,-1.5,1.5,0.25,0,1.3,0.7,1,10,-1,0.5,1,1,"CunningsEtAl13E2HI","EN","ET","RRT","HI","gend","retro","subj_topic","refl",NA,"subj_AND_topic",2.5209,3.0106,2.0312,1
